Date,Degree,
Fri Jan 02 00:00:00 PST 2015,0.0,
Sat Jan 03 00:00:00 PST 2015,0.0,
Sun Jan 04 00:00:00 PST 2015,0.0,
Mon Jan 05 00:00:00 PST 2015,0.0,
Tue Jan 06 00:00:00 PST 2015,0.0,
Wed Jan 07 00:00:00 PST 2015,0.0,
Thu Jan 08 00:00:00 PST 2015,0.0,
Fri Jan 09 00:00:00 PST 2015,0.0,
Sat Jan 10 00:00:00 PST 2015,0.0,
Sun Jan 11 00:00:00 PST 2015,0.0,
Mon Jan 12 00:00:00 PST 2015,0.0,
Tue Jan 13 00:00:00 PST 2015,0.0,
Wed Jan 14 00:00:00 PST 2015,0.0,
Thu Jan 15 00:00:00 PST 2015,0.0,
Fri Jan 16 00:00:00 PST 2015,0.0,
Sat Jan 17 00:00:00 PST 2015,0.0,
Sun Jan 18 00:00:00 PST 2015,0.0,
Mon Jan 19 00:00:00 PST 2015,0.0,
Tue Jan 20 00:00:00 PST 2015,0.0,
Wed Jan 21 00:00:00 PST 2015,0.0,
Thu Jan 22 00:00:00 PST 2015,0.0,
Fri Jan 23 00:00:00 PST 2015,0.0,
Sat Jan 24 00:00:00 PST 2015,0.0,
Sun Jan 25 00:00:00 PST 2015,0.0,
Mon Jan 26 00:00:00 PST 2015,0.0,
Tue Jan 27 00:00:00 PST 2015,0.0,
Wed Jan 28 00:00:00 PST 2015,0.0,
Thu Jan 29 00:00:00 PST 2015,0.0,
Fri Jan 30 00:00:00 PST 2015,0.0,
Sat Jan 31 00:00:00 PST 2015,0.0,
